UniqueCount	AmbigCount
0	186703
0	33268
0	243752
0	2196
0	35822
0	27158994
0	492
0	171
0	132
0	62
0	15
0	17
0	6
0	14
0	24
0	1
0	7
0	0
0	0
0	6
0	0
0	0
0	2
0	0
0	0
0	0
0	0
0	3
0	1
0	0
0	12
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	1
0	0
0	4
0	2
0	0
0	1
0	1
0	12
0	3
0	3
0	1
0	1
0	0
0	13
0	0
0	0
0	3
0	0
0	0
0	6
0	1
0	0
0	0
0	40
0	3
0	0
0	0
0	0
0	0
0	0
0	0
0	6
0	0
0	2
0	3
0	1
0	0
0	0
0	0
0	0
0	0
0	3
0	2
0	1
0	7
0	0
0	24
0	4
0	5
0	1
0	4
0	0
0	1
0	2
0	1
0	1
0	0
0	2
0	0
0	31
0	3
0	0
0	4
0	14
0	0
0	26
0	0
0	1
0	0
0	0
0	0
0	0
0	0
0	6
0	0
0	0
0	3
0	5
0	0
0	0
0	0
0	0
0	0
0	11
0	0
0	0
0	0
0	5
0	9
0	0
0	0
0	0
0	0
0	5
0	13
0	12
0	0
0	1
0	5
0	3
0	1
0	3
0	1
0	1
0	5
0	0
0	0
0	0
0	4
0	0
0	0
0	26
0	1
0	1
0	0
0	6
0	5
0	0
0	1
0	0
0	8
0	3
0	0
0	0
0	0
0	13
0	0
0	1
0	0
0	2
0	8
0	0
0	1
0	7
0	7
0	1
0	2
0	0
0	0
0	1
0	0
0	1
0	0
0	2
0	0
0	0
0	3
0	0
0	3
0	2
0	51
0	5
0	0
0	0
0	0
0	0
0	4
0	8
0	29
0	14
0	0
0	1
0	0
0	2
0	0
0	7
0	5
0	2
0	1
0	0
0	0
0	5
0	3
0	0
0	1
0	0
0	9
0	1
0	0
0	0
0	0
0	0
0	1
0	1
0	1
0	16
0	0
0	10
0	0
0	7
0	5
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	1
0	0
0	0
0	0
0	0
0	1
0	0
0	134
0	14
0	6
0	66
0	0
0	4
0	10
0	0
0	0
0	5
0	2
0	2
0	8
0	0
0	3
0	1
0	3
0	0
0	4
0	1
0	175
0	1
0	1
0	0
0	0
0	0
0	1
0	1
0	3
0	0
0	0
0	4
0	0
0	2
0	1
0	1
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	3
0	2
0	6
0	4
0	0
0	0
0	1
0	8
0	0
0	0
0	0
0	0
0	1
0	0
0	2
0	1
0	0
0	0
0	1
0	2
0	0
0	3
0	2
0	1
0	0
0	2
0	0
0	0
0	0
0	4
0	37
0	0
0	4
0	4
0	1
0	0
0	6
0	3
0	0
0	6
0	5
0	5
0	8
0	31
0	1
0	0
0	0
0	9
0	0
0	0
0	0
0	6
0	2
0	0
0	1
0	1
0	0
0	1
0	0
0	5
0	3
0	5
0	4
0	3
0	0
0	1
0	0
0	0
0	13
0	32
0	1
0	0
0	0
0	0
0	2
0	0
0	1
0	4
0	0
0	0
0	1
0	1
0	4
0	0
0	2
0	0
0	17
0	9
0	1
0	0
0	0
0	0
0	0
0	0
0	0
0	1
0	0
