UniqueCount	AmbigCount
0	114918
0	18720
0	263112
0	1580
0	32401
0	30632874
0	281
0	114
0	62
0	36
0	7
0	8
0	1
0	16
0	16
0	2
0	20
0	0
0	0
0	1
0	1
0	0
0	3
0	3
0	0
0	0
0	0
0	1
0	1
0	0
0	29
0	1
0	0
0	2
0	3
0	0
0	0
0	0
0	0
0	0
0	1
0	1
0	0
0	0
0	0
0	3
0	13
0	6
0	0
0	3
0	3
0	0
0	0
0	0
0	0
0	35
0	0
0	0
0	0
0	3
0	3
0	0
0	30
0	0
0	1
0	1
0	4
0	4
0	0
0	3
0	8
0	4
0	4
0	0
0	5
0	2
0	0
0	0
0	2
0	0
0	1
0	1
0	1
0	3
0	1
0	11
0	2
0	3
0	0
0	1
0	0
0	1
0	0
0	1
0	1
0	2
0	1
0	0
0	11
0	6
0	0
0	3
0	16
0	0
0	1
0	1
0	1
0	1
0	1
0	1
0	0
0	1
0	12
0	2
0	0
0	4
0	9
0	2
0	0
0	0
0	12
0	3
0	7
0	1
0	0
0	0
0	0
0	14
0	0
0	1
0	0
0	1
0	0
0	35
0	0
0	2
0	4
0	5
0	2
0	0
0	0
0	2
0	1
0	1
0	1
0	0
0	0
0	0
0	0
0	0
0	19
0	0
0	1
0	0
0	12
0	2
0	3
0	3
0	0
0	21
0	5
0	1
0	0
0	0
0	12
0	1
0	0
0	0
0	1
0	0
0	0
0	0
0	13
0	5
0	2
0	4
0	0
0	1
0	5
0	2
0	2
0	1
0	2
0	0
0	0
0	2
0	0
0	7
0	3
0	11
0	2
0	1
0	0
0	0
0	0
0	0
0	4
0	51
0	29
0	0
0	6
0	0
0	1
0	3
0	4
0	0
0	2
0	0
0	0
0	0
0	5
0	0
0	0
0	0
0	0
0	40
0	12
0	0
0	0
0	0
0	0
0	4
0	4
0	1
0	17
0	1
0	21
0	0
0	20
0	1
0	2
0	0
0	0
0	0
0	2
0	7
0	0
0	0
0	1
0	6
0	0
0	4
0	0
0	0
0	1
0	0
0	77
0	1
0	6
0	36
0	1
0	0
0	3
0	0
0	0
0	8
0	0
0	5
0	2
0	1
0	0
0	1
0	1
0	1
0	0
0	4
0	61
0	1
0	5
0	1
0	1
0	0
0	0
0	0
0	1
0	3
0	0
0	0
0	0
0	2
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	4
0	1
0	1
0	2
0	0
0	0
0	1
0	4
0	0
0	0
0	1
0	2
0	1
0	5
0	2
0	2
0	0
0	1
0	1
0	0
0	1
0	1
0	3
0	0
0	0
0	1
0	1
0	0
0	4
0	3
0	59
0	3
0	1
0	5
0	5
0	0
0	6
0	13
0	0
0	3
0	12
0	4
0	13
0	42
