UniqueCount	AmbigCount
0	154615
0	25232
0	277728
0	2122
0	35344
0	30132452
0	393
0	132
0	89
0	56
0	16
0	15
0	14
0	17
0	66
0	0
0	9
0	0
0	0
0	1
0	0
0	0
0	0
0	1
0	2
0	0
0	1
0	0
0	0
0	0
0	16
0	0
0	0
0	2
0	0
0	0
0	0
0	0
0	0
0	0
0	1
0	0
0	1
0	0
0	2
0	0
0	19
0	3
0	1
0	0
0	1
0	0
0	4
0	0
0	0
0	6
0	0
0	0
0	0
0	4
0	1
0	1
0	18
0	2
0	1
0	2
0	2
0	0
0	0
0	2
0	6
0	1
0	5
0	1
0	3
0	0
0	0
0	0
0	0
0	1
0	3
0	2
0	0
0	10
0	1
0	8
0	2
0	4
0	3
0	0
0	0
0	10
0	4
0	2
0	1
0	1
0	1
0	0
0	21
0	1
0	1
0	3
0	24
0	0
0	26
0	2
0	2
0	1
0	0
0	0
0	0
0	3
0	6
0	0
0	0
0	4
0	3
0	2
0	0
0	1
0	5
0	4
0	5
0	1
0	2
0	1
0	1
0	8
0	0
0	2
0	0
0	0
0	11
0	15
0	5
0	2
0	4
0	10
0	2
0	0
0	0
0	3
0	1
0	4
0	0
0	0
0	0
0	1
0	0
0	1
0	27
0	0
0	0
0	0
0	2
0	1
0	3
0	0
0	0
0	0
0	3
0	0
0	0
0	0
0	10
0	0
0	0
0	0
0	1
0	5
0	0
0	1
0	13
0	5
0	0
0	3
0	0
0	0
0	0
0	0
0	5
0	1
0	2
0	0
0	1
0	1
0	0
0	2
0	2
0	54
0	2
0	0
0	1
0	0
0	0
0	2
0	9
0	18
0	17
0	0
0	9
0	0
0	5
0	2
0	6
0	1
0	1
0	0
0	0
0	2
0	11
0	0
0	0
0	0
0	0
0	4
0	4
0	0
0	0
0	0
0	0
0	1
0	8
0	0
0	8
0	0
0	10
0	0
0	10
0	1
0	0
0	1
0	0
0	0
0	3
0	5
0	0
0	0
0	0
0	3
0	0
0	1
0	0
0	0
0	0
0	0
0	81
0	5
0	4
0	36
0	0
0	2
0	7
0	0
0	0
0	1
0	0
0	11
0	6
0	2
0	6
0	1
0	0
0	0
0	1
0	3
0	85
0	1
0	1
0	0
0	0
0	0
0	0
0	2
0	1
0	0
0	0
0	2
0	0
0	0
0	0
0	0
0	2
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	3
0	2
0	4
0	3
0	0
0	0
0	2
0	62
0	0
0	0
0	1
0	4
0	2
0	0
0	0
0	4
0	1
0	0
0	0
0	0
0	0
0	0
0	3
0	0
0	0
0	5
0	0
0	0
0	0
0	4
0	24
0	0
0	1
0	3
0	1
0	0
0	5
0	3
0	0
0	0
0	8
0	1
0	22
0	25
0	0
0	1
0	1
0	9
0	0
0	0
0	2
0	28
0	4
0	1
0	0
0	2
0	0
0	0
0	2
0	1
0	6
0	0
0	4
0	5
0	0
0	2
0	0
0	0
0	1
0	5
0	0
0	2
0	0
0	0
0	3
0	0
0	1
0	3
0	0
0	0
0	2
0	0
0	1
0	0
0	2
0	0
0	5
0	7
0	1
0	2
0	0
0	0
0	1
0	0
0	1
0	0
0	2
0	1
0	0
0	2
0	11
0	0
0	0
0	18
0	7
0	0
0	1
0	0
0	5
0	1
0	1
0	11
0	7
0	4
0	1
0	2
0	1
0	0
0	0
0	0
0	4
0	7
0	3
0	1
0	0
0	1
0	2
0	26
0	0
0	0
0	0
0	0
0	0
0	0
0	15
0	8
0	0
0	7
0	1
0	0
0	5
0	0
0	1
0	0
0	19
0	1
0	1
0	3
0	2
0	5
0	3
0	1
0	1
0	0
0	1
0	39
0	0
0	1
0	0
0	2
0	1
0	0
0	0
0	1
0	1
0	0
0	18
0	1
0	2
0	0
0	1
0	1
0	0
0	3
0	23
0	0
0	3
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	8
0	0
0	0
0	0
0	5
0	3
0	1
0	3
0	1
0	21
0	63
0	2
0	1
0	0
0	0
0	0
0	2
0	1
0	0
0	2
0	1
0	8
0	0
0	0
0	0
0	362
0	0
0	0
0	1
0	3
0	7
0	0
0	6
0	0
0	1
0	0
0	0
0	0
0	0
0	1
0	0
0	0
0	39
0	11
0	5
0	2
0	3
0	3
0	6
0	0
0	1
0	1
0	0
0	1
0	4
0	1
0	1
0	5
0	0
0	1
0	0
0	6
0	1
0	0
0	0
0	0
0	39
0	2
0	1
0	0
0	0
0	1
0	1
0	0
0	2
0	4
0	0
0	0
0	0
0	1
0	0
0	0
0	1
0	2
0	7
0	14
0	1
0	0
0	1
0	2
0	3
0	0
0	0
0	0
0	2
0	6
0	0
0	0
0	0
0	1
0	0
0	1
0	1
0	0
0	0
0	0
0	0
0	0
0	5
0	3
0	0
0	0
0	1
0	3
0	0
0	8
0	0
0	0
0	4
0	4
0	1
0	2
0	2
0	0
0	0
0	0
0	0
0	4
0	1
0	2
0	0
0	0
0	0
0	1
0	0
0	2
0	0
0	1
0	1
0	11
0	1
0	2
0	0
0	0
0	0
0	0
0	4
0	1
0	0
0	5
0	8
0	59
0	0
0	1
0	0
0	4
0	0
0	0
0	0
0	0
0	1
0	1
0	1
0	3
0	2
0	0
0	0
0	8
0	0
0	3
0	0
0	2
0	0
0	0
0	0
0	0
0	0
0	1
0	6
0	0
0	7
0	0
0	0
0	1
0	0
0	0
0	0
0	0
0	0
0	0
0	1
0	0
0	4
0	4
0	2
0	1
0	1
0	0
0	0
0	0
0	1
0	0
0	1
0	0
0	0
0	0
0	0
0	3
0	0
0	3
0	16
0	0
0	1
0	1
0	4
0	2
0	0
0	0
0	1
0	12
0	1
0	0
0	1
0	0
0	1
0	3
0	1
0	0
0	3
0	3
0	0
0	0
0	0
0	1
0	1
0	0
0	0
0	0
0	0
0	12
0	11
0	3
0	1
0	0
0	2
0	0
0	0
0	2
0	0
0	278
0	15
0	0
0	0
0	0
0	0
0	0
0	3
0	5
0	0
0	1
0	11
0	0
0	0
0	4
0	0
0	2
0	0
0	4
0	7
0	1
0	3
0	0
0	0
0	4
0	9
0	8
0	0
0	2
0	4
0	15
0	1
0	1
0	0
0	0
0	2
0	6
0	1
0	0
0	28
0	0
0	3
0	0
0	0
0	4
0	1
0	1
0	7
0	4
0	5
0	7
0	3
0	1
0	4
0	0
0	0
0	6
0	0
0	2
0	1
0	5
0	0
0	3
0	0
0	1
0	3
0	25
0	0
0	6867
0	0
0	2
0	0
0	0
0	1
0	4
0	0
0	3
0	0
0	0
0	0
0	9
0	6
0	0
0	4
0	1
0	2
0	4
0	0
0	0
0	13
0	0
0	0
0	0
0	3
0	0
0	1
0	122
0	5
0	0
0	1
0	1
0	3
0	0
0	5
0	1
0	0
0	0
0	1
0	0
0	0
0	0
0	0
0	0
0	9
0	0
0	1
0	2
0	0
0	3
0	9
0	9
0	49
0	2
0	4
0	2
0	0
0	9
0	6
0	0
0	0
0	12
0	1
0	35
0	1
0	2
0	0
0	0
0	0
0	0
0	1
0	77
0	2
0	2
0	0
0	5
0	15
0	4
0	0
0	1
0	5
0	0
0	0
0	1
0	1
0	1
0	2
0	1
0	0
0	0
0	0
0	0
0	1
0	0
0	3
0	2
0	0
0	4
0	0
0	1
0	3
0	3
0	4
0	2
0	2
0	0
0	27
0	4
0	0
0	9
0	3
0	0
0	1
0	0
0	42
0	3
0	0
0	4
0	0
0	0
0	0
0	1
0	1
0	0
0	2
0	0
0	0
0	0
0	0
0	0
0	4
0	0
0	1
0	0
0	1
0	1
0	0
0	29
0	0
0	27
0	0
0	8
0	0
0	0
0	0
0	0
0	1
0	3
0	7
0	0
0	1
0	0
0	4
0	2
0	3
0	13
0	4
0	2
0	7
0	11
0	1
0	1
0	2
0	0
0	2
0	1
0	0
0	0
0	1
0	0
0	2
0	5
0	2
0	0
0	1
0	5
0	4
0	1
0	0
0	1
0	4
0	4
0	0
0	1
0	5
0	2
0	0
0	0
0	0
0	0
0	11
0	12
0	3
0	0
0	0
0	1
0	2
0	1
0	0
0	19
0	5
0	5
0	0
0	0
0	0
0	0
0	5
0	1
0	13
0	4
0	1
0	2
0	0
0	1
0	18
0	1
0	19
0	8
0	2
0	0
0	4
0	2
0	1
0	2
0	0
0	1
0	0
0	0
0	3
0	6
0	6
0	0
0	2
0	0
0	4
0	1
0	12
0	0
0	0
0	0
0	1
0	0
0	1
0	5
0	0
0	3
0	0
0	1
0	2
0	2
0	0
0	0
0	2
0	0
0	3
0	0
0	3
0	12
0	1
0	0
0	4
0	1
0	4
0	0
0	0
0	0
0	8
0	19
0	1
0	1
0	0
0	1
0	0
0	0
0	0
0	1
0	2
0	0
0	2
0	10
0	0
0	0
0	0
0	17
0	4
0	1
0	2
0	0
0	2
0	0
0	0
0	8
0	33
0	0
0	2
0	2
0	0
0	4
0	0
0	5
0	4
0	2
0	1
0	0
0	0
0	0
0	2
0	0
0	0
0	0
0	0
0	0
0	0
0	5
0	2
0	11
0	9
0	5
0	7
0	2
0	1
0	2
0	0
0	15
0	0
0	4
0	1
0	0
0	2
0	10
0	0
0	11
0	14
0	0
0	0
0	3
0	3
0	0
0	1
0	0
0	0
0	243
0	2309
0	2
0	59
0	177
0	279
0	2
0	1775
0	522
0	3
0	6
0	228
0	0
0	86596
0	31
0	183
0	49
0	0
0	21
0	0
0	29
0	47
0	19
0	302
0	15
0	74
0	0
0	698
0	8
0	55
0	231
0	443
0	212
0	0
0	5
0	8
0	164
0	2
0	7
0	164
0	119
0	119
0	8
0	25
0	0
0	104
0	8
0	15
0	15
0	18
0	4
0	1022
0	831
