UniqueCount	AmbigCount
0	128166
0	20792
0	246093
0	1865
0	32254
0	29014948
0	327
0	85
0	57
0	34
0	16
0	26
0	7
0	19
0	20
0	2
0	9
0	3
0	0
0	1
0	0
0	0
0	5
0	0
0	0
0	0
0	1
0	1
0	0
0	0
0	16
0	0
0	0
0	5
0	2
0	0
0	1
0	0
0	1
0	1
0	1
0	1
0	1
0	2
0	2
0	4
0	20
0	3
0	0
0	1
0	8
0	1
0	4
0	0
0	0
0	29
0	0
0	1
0	0
0	3
0	0
0	3
0	26
0	1
0	0
0	2
0	2
0	1
0	3
0	0
0	4
0	4
0	7
0	3
0	18
0	2
0	0
0	0
0	1
0	0
0	3
0	1
0	0
0	1
0	0
0	2
0	3
0	4
0	3
0	1
0	0
0	5
0	2
0	0
0	3
0	2
0	1
0	0
0	13
0	0
0	0
0	0
0	26
0	0
0	0
0	0
0	0
0	0
0	0
0	2
0	0
0	7
0	2
0	0
0	0
0	5
0	2
0	1
0	0
0	0
0	0
0	3
0	12
0	1
0	1
0	0
0	0
0	0
0	3
0	2
0	1
0	0
0	6
0	4
0	14
0	3
0	3
0	1
0	0
0	1
0	0
0	1
0	2
0	4
0	2
0	0
0	0
0	1
0	0
0	0
0	24
0	0
0	1
0	0
0	1
0	3
0	4
0	0
0	1
0	1
0	8
0	0
0	0
0	0
0	26
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	4
0	5
0	0
0	2
0	0
0	0
0	4
0	2
0	4
0	1
0	2
0	3
0	0
0	5
0	0
0	10
0	0
0	26
0	1
0	0
0	0
0	0
0	0
0	0
0	4
0	19
0	30
0	1
0	2
0	0
0	0
0	0
0	1
0	0
0	3
0	0
0	0
0	0
0	7
0	0
0	4
0	3
0	0
0	27
0	3
0	0
0	0
0	0
0	1
0	1
0	9
0	2
0	15
0	1
0	22
0	0
0	5
0	8
0	4
0	1
0	0
0	0
0	2
0	5
0	0
0	0
0	4
0	5
0	0
0	0
0	0
0	0
0	0
0	1
0	75
0	8
0	12
0	27
0	0
0	0
0	7
0	0
0	0
0	3
0	5
0	9
0	1
0	0
0	4
0	5
0	0
0	3
0	2
0	2
0	86
0	0
0	8
0	1
0	0
0	0
0	1
0	0
0	0
0	0
0	0
0	0
0	0
0	1
0	0
0	2
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	3
0	4
0	1
0	5
0	0
0	0
0	5
0	94
0	0
0	0
0	0
0	2
0	3
0	3
0	2
0	2
0	0
0	1
0	1
0	0
0	0
0	3
0	3
0	0
0	0
0	0
0	0
0	0
0	1
0	2
0	46
0	1
0	1
0	8
0	1
0	0
0	7
0	13
0	0
0	0
0	10
0	4
0	18
0	32
0	1
0	0
0	4
0	17
0	1
0	0
0	1
0	17
0	1
0	1
0	0
0	2
0	0
0	0
0	1
0	1
0	3
0	0
0	3
0	6
0	2
0	8
0	0
0	0
0	2
0	12
0	0
0	0
0	0
0	0
0	2
0	2
0	2
0	6
0	1
0	0
0	4
0	0
0	23
0	0
0	0
0	2
0	15
0	15
0	5
0	0
0	1
0	0
0	4
0	0
0	0
0	0
0	4
0	3
0	3
0	2
0	4
0	0
0	4
0	33
0	4
0	0
0	0
0	2
0	3
0	1
0	0
0	31
0	8
0	0
0	1
0	1
0	4
0	2
0	2
0	0
0	4
0	9
0	2
0	1
0	2
0	3
0	3
0	32
0	0
0	0
0	0
0	0
0	0
0	0
0	20
0	19
0	2
0	4
0	2
0	1
0	1
0	3
0	2
0	0
0	22
0	3
0	3
0	3
0	0
0	0
0	1
0	2
0	0
0	0
0	2
0	12
0	0
0	1
0	2
0	1
0	1
0	0
0	3
0	1
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	1
0	15
0	0
0	2
0	6
0	3
0	0
0	0
0	0
0	1
0	1
0	1
0	0
0	1
0	0
0	2
0	7
0	0
0	1
0	2
0	30
0	99
0	2
0	0
0	0
0	0
0	1
0	1
0	1
0	0
0	1
0	0
0	7
0	0
0	1
0	1
0	585
0	0
0	4
0	2
0	6
0	3
0	0
0	17
0	1
0	4
0	0
0	3
0	1
0	2
0	0
0	0
0	0
0	90
0	1
0	17
0	1
0	2
0	2
0	11
0	0
0	2
0	0
0	1
0	1
0	2
0	1
0	3
0	9
0	0
0	0
0	0
0	10
0	2
0	2
0	1
0	0
0	20
0	6
0	0
0	0
0	0
0	3
0	0
0	0
0	1
0	2
0	0
0	0
0	0
0	2
0	0
0	0
0	2
0	5
0	6
0	7
0	1
0	0
0	0
0	1
0	1
0	0
0	0
0	0
0	1
0	9
0	0
0	0
0	2
0	1
0	0
0	1
0	0
0	0
0	0
0	0
0	0
0	1
0	3
0	1
0	0
0	0
0	0
0	12
0	2
0	6
0	1
0	2
0	7
0	4
0	3
0	3
0	6
0	0
0	0
0	0
0	0
0	5
0	0
0	0
0	4
0	1
0	0
0	1
0	0
0	4
0	1
0	3
0	0
0	4
0	0
0	0
0	0
0	2
0	1
0	4
0	5
0	0
0	0
0	5
0	14
0	5
0	0
0	2
0	0
0	0
0	1
0	2
0	0
0	0
0	1
0	1
0	1
0	1
0	0
0	0
0	2
0	14
0	0
0	2
0	0
0	1
0	0
0	5
0	0
0	0
0	0
0	1
0	7
0	0
0	4
